1 [SwanLab-INFO]:        Experiment GAN has been registered.
2 [SwanLab-INFO]:        Run data will be saved locally in C:\LearningGit\Learning Project\GAN\logs\run-20240221_133301-be8f1018
3 [SwanLab-INFO]:        Experiment_name: GAN_2024-02-21_13-33-01
4 [SwanLab-INFO]:        Run `swanlab watch` to view SwanLab Experiment Dashboard
5 use gpu for training
69 step:3111, recons_loss:0.1650293469429016, g_loss:1.1604481935501099, d_loss:0.799848735332489, real_loss:0.2812461256980896, fake_loss:0.5186026096343994
70 step:3161, recons_loss:0.16564197838306427, g_loss:2.27553129196167, d_loss:1.1104792356491089, real_loss:0.9835006594657898, fake_loss:0.12697860598564148
71 step:3211, recons_loss:0.17166826128959656, g_loss:1.6758884191513062, d_loss:1.0219367742538452, real_loss:0.7878937721252441, fake_loss:0.2340429723262787
72 step:3261, recons_loss:0.17519019544124603, g_loss:1.22437584400177, d_loss:0.817699670791626, real_loss:0.378934383392334, fake_loss:0.4387653172016144
73 step:3311, recons_loss:0.16553592681884766, g_loss:1.5283448696136475, d_loss:1.0791218280792236, real_loss:0.6819906234741211, fake_loss:0.39713117480278015
74 step:3361, recons_loss:0.17621761560440063, g_loss:1.3552119731903076, d_loss:0.7031508684158325, real_loss:0.32463350892066956, fake_loss:0.3785173296928406
75 step:3411, recons_loss:0.17368827760219574, g_loss:1.1360162496566772, d_loss:0.8470242619514465, real_loss:0.3192691206932068, fake_loss:0.5277551412582397
76 step:3461, recons_loss:0.16710233688354492, g_loss:1.2491910457611084, d_loss:0.7236509323120117, real_loss:0.30093640089035034, fake_loss:0.4227145314216614
77 step:3511, recons_loss:0.16693076491355896, g_loss:1.184647560119629, d_loss:0.8880425095558167, real_loss:0.4668053984642029, fake_loss:0.42123711109161377
78 step:3561, recons_loss:0.17200978100299835, g_loss:1.2312618494033813, d_loss:1.0759143829345703, real_loss:0.710066556930542, fake_loss:0.3658478856086731
79 step:3611, recons_loss:0.15704604983329773, g_loss:1.0293301343917847, d_loss:0.9314248561859131, real_loss:0.3381810188293457, fake_loss:0.5932438373565674
80 step:3661, recons_loss:0.17857706546783447, g_loss:1.301647663116455, d_loss:0.9893137216567993, real_loss:0.6519732475280762, fake_loss:0.33734047412872314
81 step:3711, recons_loss:0.17401999235153198, g_loss:0.7874544858932495, d_loss:1.0003455877304077, real_loss:0.23310375213623047, fake_loss:0.7672418355941772
82 step:3748, recons_loss:0.17140033841133118, g_loss:1.736819863319397, d_loss:0.8900921940803528, real_loss:0.63165283203125, fake_loss:0.2584393620491028
83 step:3798, recons_loss:0.16867338120937347, g_loss:1.0887500047683716, d_loss:0.8699442148208618, real_loss:0.21268293261528015, fake_loss:0.6572612524032593
84 step:3848, recons_loss:0.16515681147575378, g_loss:0.7840229868888855, d_loss:1.1503875255584717, real_loss:0.26556846499443054, fake_loss:0.8848190903663635
85 step:3898, recons_loss:0.17146803438663483, g_loss:1.7329729795455933, d_loss:0.9515403509140015, real_loss:0.7329431772232056, fake_loss:0.2185971587896347
86 step:3948, recons_loss:0.16656380891799927, g_loss:0.8168331384658813, d_loss:1.128491997718811, real_loss:0.4385458827018738, fake_loss:0.6899461150169373
87 step:3998, recons_loss:0.17331703007221222, g_loss:0.9411912560462952, d_loss:1.2658910751342773, real_loss:0.5312100648880005, fake_loss:0.7346809506416321
88 step:4048, recons_loss:0.17020006477832794, g_loss:1.139597773551941, d_loss:1.109704852104187, real_loss:0.4358586370944977, fake_loss:0.6738462448120117
89 step:4098, recons_loss:0.1650138795375824, g_loss:0.7947344779968262, d_loss:1.092652678489685, real_loss:0.4206893742084503, fake_loss:0.6719632744789124
90 step:4148, recons_loss:0.1519353836774826, g_loss:1.3490886688232422, d_loss:0.8830544948577881, real_loss:0.48704856634140015, fake_loss:0.39600592851638794
91 step:4198, recons_loss:0.1675429791212082, g_loss:0.9542127251625061, d_loss:1.0201213359832764, real_loss:0.3961753249168396, fake_loss:0.6239460706710815
92 step:4248, recons_loss:0.16341057419776917, g_loss:1.0178686380386353, d_loss:1.031532645225525, real_loss:0.3611264228820801, fake_loss:0.6704062223434448
93 step:4298, recons_loss:0.16660577058792114, g_loss:1.7250444889068604, d_loss:0.8758965134620667, real_loss:0.6589174270629883, fake_loss:0.21697907149791718
94 step:4348, recons_loss:0.17866811156272888, g_loss:1.293042540550232, d_loss:1.0151965618133545, real_loss:0.5689494609832764, fake_loss:0.4462471008300781
95 step:4398, recons_loss:0.1607867181301117, g_loss:2.201476812362671, d_loss:1.0282456874847412, real_loss:0.9000871777534485, fake_loss:0.12815850973129272
96 step:4448, recons_loss:0.169423446059227, g_loss:1.4519253969192505, d_loss:1.0273261070251465, real_loss:0.6611083745956421, fake_loss:0.3662177324295044
97 step:4498, recons_loss:0.17584609985351562, g_loss:1.345164179801941, d_loss:0.9242768287658691, real_loss:0.597819447517395, fake_loss:0.32645735144615173
98 step:4548, recons_loss:0.17290185391902924, g_loss:1.4233009815216064, d_loss:0.8541858196258545, real_loss:0.4656439423561096, fake_loss:0.3885418772697449
99 step:4598, recons_loss:0.1667170226573944, g_loss:0.8050554990768433, d_loss:1.1337025165557861, real_loss:0.3894144892692566, fake_loss:0.7442879676818848
100 step:4648, recons_loss:0.17415189743041992, g_loss:2.029221534729004, d_loss:1.3260546922683716, real_loss:1.1645129919052124, fake_loss:0.16154174506664276
101 step:4685, recons_loss:0.17566165328025818, g_loss:0.8809299468994141, d_loss:0.9714067578315735, real_loss:0.2954792380332947, fake_loss:0.6759275197982788
102 step:4735, recons_loss:0.17451180517673492, g_loss:1.0432909727096558, d_loss:1.0132167339324951, real_loss:0.43458443880081177, fake_loss:0.5786323547363281
103 step:4785, recons_loss:0.16519561409950256, g_loss:0.6902873516082764, d_loss:1.1788698434829712, real_loss:0.2202966958284378, fake_loss:0.9585731029510498
104 step:4835, recons_loss:0.17468735575675964, g_loss:0.9727557897567749, d_loss:1.0488916635513306, real_loss:0.3777291178703308, fake_loss:0.6711625456809998
105 step:4885, recons_loss:0.15661412477493286, g_loss:1.0289510488510132, d_loss:0.9766538739204407, real_loss:0.46327877044677734, fake_loss:0.5133751034736633
106 step:4935, recons_loss:0.17403966188430786, g_loss:1.1493606567382812, d_loss:0.9165765643119812, real_loss:0.4677460789680481, fake_loss:0.4488304853439331
107 step:4985, recons_loss:0.17285391688346863, g_loss:1.4545848369598389, d_loss:1.0094411373138428, real_loss:0.7126398086547852, fake_loss:0.29680135846138
108 step:5035, recons_loss:0.17567649483680725, g_loss:1.4246066808700562, d_loss:1.0291591882705688, real_loss:0.691831111907959, fake_loss:0.33732807636260986
109 step:5085, recons_loss:0.1717318743467331, g_loss:2.567464590072632, d_loss:1.298087239265442, real_loss:1.208822250366211, fake_loss:0.08926494419574738
110 step:5135, recons_loss:0.16840045154094696, g_loss:1.0789216756820679, d_loss:0.9443975687026978, real_loss:0.4901493787765503, fake_loss:0.4542481601238251
