1 [SwanLab-INFO]:        Experiment GAN has been registered.
2 [SwanLab-INFO]:        Run data will be saved locally in C:\LearningGit\Learning Project\GAN\logs\run-20240221_124726-0faa6e9b
3 [SwanLab-INFO]:        Experiment_name: GAN_2024-02-21_12-47-26
4 [SwanLab-INFO]:        Run `swanlab watch` to view SwanLab Experiment Dashboard
5 use gpu for training
88 step:3844, recons_loss:0.16105647385120392, g_loss:0.7666339874267578, d_loss:1.2700345516204834, real_loss:0.6278549432754517, fake_loss:0.6421796679496765
89 step:3894, recons_loss:0.16328153014183044, g_loss:0.7165894508361816, d_loss:1.4119231700897217, real_loss:0.732696533203125, fake_loss:0.6792265772819519
90 step:3944, recons_loss:0.16373984515666962, g_loss:0.8793535828590393, d_loss:1.2617576122283936, real_loss:0.6917755007743835, fake_loss:0.5699821710586548
91 step:3978, recons_loss:0.1665763109922409, g_loss:0.7147578001022339, d_loss:1.2464505434036255, real_loss:0.5285495519638062, fake_loss:0.7179009914398193
92 step:4028, recons_loss:0.16936978697776794, g_loss:0.9990807771682739, d_loss:1.2311346530914307, real_loss:0.7262187004089355, fake_loss:0.5049160122871399
93 step:4078, recons_loss:0.18414157629013062, g_loss:0.9252182841300964, d_loss:1.2548527717590332, real_loss:0.6990548372268677, fake_loss:0.5557979345321655
94 step:4128, recons_loss:0.16300222277641296, g_loss:0.7239712476730347, d_loss:1.3350378274917603, real_loss:0.6366044282913208, fake_loss:0.6984333992004395
95 step:4178, recons_loss:0.16196879744529724, g_loss:0.7290193438529968, d_loss:1.3969788551330566, real_loss:0.6953475475311279, fake_loss:0.7016312479972839
96 step:4212, recons_loss:0.1646193414926529, g_loss:0.7670349478721619, d_loss:1.224450945854187, real_loss:0.5520966053009033, fake_loss:0.6723543405532837
97 step:4262, recons_loss:0.17215950787067413, g_loss:0.776435375213623, d_loss:1.309402346611023, real_loss:0.6811476945877075, fake_loss:0.6282546520233154
98 step:4312, recons_loss:0.15788865089416504, g_loss:0.6361372470855713, d_loss:1.351656436920166, real_loss:0.5571087002754211, fake_loss:0.7945477962493896
99 step:4362, recons_loss:0.15789204835891724, g_loss:0.6675915718078613, d_loss:1.3757545948028564, real_loss:0.6307134628295898, fake_loss:0.7450411915779114
100 step:4412, recons_loss:0.16436997056007385, g_loss:0.8935624957084656, d_loss:1.2127609252929688, real_loss:0.5932104587554932, fake_loss:0.6195504665374756
101 step:4446, recons_loss:0.1698533445596695, g_loss:0.8473313450813293, d_loss:1.2864112854003906, real_loss:0.7009804248809814, fake_loss:0.5854308605194092
102 step:4496, recons_loss:0.17704056203365326, g_loss:0.6902795433998108, d_loss:1.422581672668457, real_loss:0.6757725477218628, fake_loss:0.7468091249465942
103 step:4546, recons_loss:0.1585254669189453, g_loss:0.844943106174469, d_loss:1.4268677234649658, real_loss:0.7963355779647827, fake_loss:0.6305321455001831
104 step:4596, recons_loss:0.16972817480564117, g_loss:0.7154321670532227, d_loss:1.3064230680465698, real_loss:0.6012693643569946, fake_loss:0.7051537036895752
105 step:4646, recons_loss:0.1644466668367386, g_loss:0.9114015102386475, d_loss:1.2727959156036377, real_loss:0.7297199964523315, fake_loss:0.5430759191513062
106 step:4680, recons_loss:0.15449580550193787, g_loss:0.750904381275177, d_loss:1.278801441192627, real_loss:0.6240469217300415, fake_loss:0.6547545194625854
107 step:4730, recons_loss:0.16430574655532837, g_loss:0.6141636967658997, d_loss:1.355114221572876, real_loss:0.5493570566177368, fake_loss:0.8057571649551392
108 step:4780, recons_loss:0.1549302339553833, g_loss:0.7070649266242981, d_loss:1.2372205257415771, real_loss:0.529008150100708, fake_loss:0.7082123756408691
109 step:4830, recons_loss:0.16454030573368073, g_loss:0.8904848694801331, d_loss:1.3694896697998047, real_loss:0.8188705444335938, fake_loss:0.5506190657615662
110 step:4880, recons_loss:0.16987183690071106, g_loss:0.7845047116279602, d_loss:1.2306870222091675, real_loss:0.6013516187667847, fake_loss:0.6293354034423828
111 step:4914, recons_loss:0.1609572172164917, g_loss:0.5741823315620422, d_loss:1.4121588468551636, real_loss:0.5381699800491333, fake_loss:0.8739888668060303
112 step:4964, recons_loss:0.16518907248973846, g_loss:0.6036792397499084, d_loss:1.2815885543823242, real_loss:0.4556102156639099, fake_loss:0.8259783983230591
113 step:5014, recons_loss:0.1656838059425354, g_loss:1.1536519527435303, d_loss:1.4228572845458984, real_loss:1.0019062757492065, fake_loss:0.4209509491920471
114 step:5064, recons_loss:0.1609797179698944, g_loss:0.737481415271759, d_loss:1.301763653755188, real_loss:0.6304442882537842, fake_loss:0.6713193655014038
115 step:5114, recons_loss:0.16014337539672852, g_loss:1.0173568725585938, d_loss:1.2942441701889038, real_loss:0.8279140591621399, fake_loss:0.4663301408290863
116 step:5148, recons_loss:0.1743747889995575, g_loss:1.215661883354187, d_loss:1.3168057203292847, real_loss:0.9396929144859314, fake_loss:0.3771127760410309
117 step:5198, recons_loss:0.15786710381507874, g_loss:0.7195349335670471, d_loss:1.286938190460205, real_loss:0.5931221842765808, fake_loss:0.693816065788269
118 step:5248, recons_loss:0.1648435890674591, g_loss:0.62675541639328, d_loss:1.3475955724716187, real_loss:0.5559014678001404, fake_loss:0.7916941046714783
119 step:5298, recons_loss:0.16565380990505219, g_loss:0.9448484778404236, d_loss:1.3649308681488037, real_loss:0.8341585397720337, fake_loss:0.5307723879814148
120 step:5348, recons_loss:0.16322989761829376, g_loss:0.8765766024589539, d_loss:1.2649753093719482, real_loss:0.7079957723617554, fake_loss:0.5569795370101929
121 step:5382, recons_loss:0.16312293708324432, g_loss:0.7556114792823792, d_loss:1.321010708808899, real_loss:0.6649281978607178, fake_loss:0.6560825109481812
122 step:5432, recons_loss:0.17747485637664795, g_loss:0.8751636743545532, d_loss:1.393951654434204, real_loss:0.7838022112846375, fake_loss:0.6101493835449219
123 step:5482, recons_loss:0.16482648253440857, g_loss:0.7578166127204895, d_loss:1.3250840902328491, real_loss:0.6716660261154175, fake_loss:0.6534180641174316
124 step:5532, recons_loss:0.16397036612033844, g_loss:0.7858331203460693, d_loss:1.2814604043960571, real_loss:0.624947190284729, fake_loss:0.6565132141113281
125 step:5582, recons_loss:0.18910746276378632, g_loss:0.8481810688972473, d_loss:1.263373613357544, real_loss:0.6920239925384521, fake_loss:0.5713496208190918
126 step:5616, recons_loss:0.1599588841199875, g_loss:0.7484090328216553, d_loss:1.2006425857543945, real_loss:0.5443992018699646, fake_loss:0.6562433242797852
127 step:5666, recons_loss:0.1663077175617218, g_loss:1.1489388942718506, d_loss:1.224100112915039, real_loss:0.7975166440010071, fake_loss:0.426583468914032
128 step:5716, recons_loss:0.17105728387832642, g_loss:0.8502820134162903, d_loss:1.3978304862976074, real_loss:0.8204182386398315, fake_loss:0.5774122476577759
129 step:5766, recons_loss:0.16956184804439545, g_loss:0.6527196168899536, d_loss:1.4155913591384888, real_loss:0.6288161277770996, fake_loss:0.7867752313613892
130 step:5816, recons_loss:0.18162181973457336, g_loss:0.4271944761276245, d_loss:1.4985170364379883, real_loss:0.344146192073822, fake_loss:1.1543707847595215
131 step:5850, recons_loss:0.16197039186954498, g_loss:0.7097432017326355, d_loss:1.2923572063446045, real_loss:0.5623064637184143, fake_loss:0.7300506830215454
132 step:5900, recons_loss:0.16892440617084503, g_loss:0.8271204233169556, d_loss:1.2599490880966187, real_loss:0.6218072175979614, fake_loss:0.6381418704986572
133 step:5950, recons_loss:0.1656826138496399, g_loss:0.5857012271881104, d_loss:1.6788883209228516, real_loss:0.6039798259735107, fake_loss:1.0749084949493408
134 step:6000, recons_loss:0.16939914226531982, g_loss:0.7660068869590759, d_loss:1.3030623197555542, real_loss:0.64573073387146, fake_loss:0.6573315858840942
135 step:6050, recons_loss:0.1672879010438919, g_loss:0.8468303680419922, d_loss:1.2412854433059692, real_loss:0.6697485446929932, fake_loss:0.5715368986129761
136 step:6084, recons_loss:0.17297162115573883, g_loss:0.8496072292327881, d_loss:1.4311699867248535, real_loss:0.8109036684036255, fake_loss:0.6202662587165833
137 step:6134, recons_loss:0.16437047719955444, g_loss:0.846556544303894, d_loss:1.2435023784637451, real_loss:0.6341656446456909, fake_loss:0.6093367338180542
138 step:6184, recons_loss:0.15781952440738678, g_loss:0.7447777390480042, d_loss:1.2743802070617676, real_loss:0.5212064385414124, fake_loss:0.7531737089157104
139 step:6234, recons_loss:0.16910909116268158, g_loss:0.749312698841095, d_loss:1.320440649986267, real_loss:0.6569322943687439, fake_loss:0.6635083556175232
140 step:6284, recons_loss:0.15985454618930817, g_loss:0.7319201827049255, d_loss:1.2675039768218994, real_loss:0.579422116279602, fake_loss:0.6880818009376526
141 step:6318, recons_loss:0.1812981218099594, g_loss:0.8643319606781006, d_loss:1.2125937938690186, real_loss:0.6497118473052979, fake_loss:0.5628818869590759
142 step:6368, recons_loss:0.17045027017593384, g_loss:0.935596764087677, d_loss:1.342103123664856, real_loss:0.8243752717971802, fake_loss:0.5177278518676758
143 step:6418, recons_loss:0.15425649285316467, g_loss:0.5742780566215515, d_loss:1.32745361328125, real_loss:0.473422110080719, fake_loss:0.8540314435958862
144 step:6468, recons_loss:0.1636560708284378, g_loss:0.8261365294456482, d_loss:1.3641246557235718, real_loss:0.7336342930793762, fake_loss:0.6304903626441956
145 step:6518, recons_loss:0.16582122445106506, g_loss:0.9572585225105286, d_loss:1.2132797241210938, real_loss:0.7107016444206238, fake_loss:0.5025781393051147
146 step:6552, recons_loss:0.1690177172422409, g_loss:1.0716840028762817, d_loss:1.2357841730117798, real_loss:0.7875595092773438, fake_loss:0.44822463393211365
147 step:6602, recons_loss:0.16811789572238922, g_loss:0.8460807800292969, d_loss:1.29001784324646, real_loss:0.7159869074821472, fake_loss:0.574030876159668
148 step:6652, recons_loss:0.17323985695838928, g_loss:0.6042389273643494, d_loss:1.345301866531372, real_loss:0.5304204225540161, fake_loss:0.8148813843727112
